step,loss,attack_loss,loss_true,loss_imp,loss_thresh,loss_rank,tv,true_sim,soft_impostor_sim,max_impostor_sim,gap_true_minus_impostor,frac_imp_over_threshold,frac_misrank,grad_norm
400,-0.16796492040157318,-0.16796492040157318,0.3101779818534851,-0.29272398352622986,0.0,0.10730506479740143,0.5498773455619812,0.3101779818534851,0.29272398352622986,0.19090154767036438,0.11927641928195953,0.75,0.21875,0.00017639933503232896
410,-0.20872676372528076,-0.20872676372528076,0.2997424602508545,-0.2976653575897217,0.0,0.0868614986538887,0.5467678308486938,0.2997424602508545,0.2976653575897217,0.1984982043504715,0.10124428570270538,0.6875,0.28125,0.0001760616578394547
420,-0.18748728930950165,-0.18748728930950165,0.2958480715751648,-0.2896084785461426,0.0,0.09588159620761871,0.5493099689483643,0.2958480715751648,0.2896084785461426,0.18232347071170807,0.11352460086345673,0.75,0.34375,0.0001998408988583833
430,-0.18758895993232727,-0.18758895993232727,0.314795583486557,-0.2969266474246979,0.0,0.09146875143051147,0.5493782162666321,0.314795583486557,0.2969266474246979,0.19406118988990784,0.12073437869548798,0.75,0.21875,0.00026311317924410105
440,-0.16785335540771484,-0.16785335540771484,0.3118487596511841,-0.2922478914260864,0.0,0.10479367524385452,0.5494357347488403,0.3118487596511841,0.2922478914260864,0.18621686100959778,0.12563186883926392,0.75,0.25,0.00015070877270773053
450,-0.1998259723186493,-0.1998259723186493,0.30073297023773193,-0.2965850532054901,0.0,0.0926111564040184,0.5506094694137573,0.30073297023773193,0.2965850532054901,0.1968570053577423,0.10387597233057022,0.75,0.28125,0.00018084685143548995
460,-0.20021331310272217,-0.20021331310272217,0.288967102766037,-0.2904241383075714,0.0,0.09166785329580307,0.5509626865386963,0.288967102766037,0.2904241383075714,0.18087759613990784,0.10808952897787094,0.71875,0.28125,0.00018690383876673877
470,-0.22259654104709625,-0.22259654104709625,0.2844238877296448,-0.2904779314994812,0.0,0.07393543422222137,0.550790548324585,0.2844238877296448,0.2904779314994812,0.183068186044693,0.10135570168495178,0.65625,0.21875,0.00018512089445721358
480,-0.2279815673828125,-0.2279815673828125,0.27692142128944397,-0.2897834777832031,0.0,0.07466396689414978,0.5508145093917847,0.27692142128944397,0.2897834777832031,0.18531155586242676,0.09160986542701721,0.6875,0.25,0.0002025268186116591
490,-0.24736236035823822,-0.24736236035823822,0.2587091326713562,-0.2901565432548523,0.0,0.07424159348011017,0.549811840057373,0.2587091326713562,0.2901565432548523,0.18482312560081482,0.07388599216938019,0.5625,0.34375,0.00015691353473812342
500,-0.19911935925483704,-0.19911935925483704,0.2935299873352051,-0.2902805209159851,0.0,0.0879116952419281,0.5496237277984619,0.2935299873352051,0.2902805209159851,0.18027466535568237,0.1132553219795227,0.6875,0.21875,0.0002868362353183329
510,-0.23276424407958984,-0.23276424407958984,0.2712664008140564,-0.2912535071372986,0.0,0.07847636938095093,0.5491596460342407,0.2712664008140564,0.2912535071372986,0.18699121475219727,0.08427521586418152,0.78125,0.34375,0.0001337373978458345
520,-0.2089606523513794,-0.2089606523513794,0.2951987385749817,-0.2960168421268463,0.0,0.08787430077791214,0.5484867095947266,0.2951987385749817,0.2960168421268463,0.19343866407871246,0.10176008939743042,0.8125,0.25,0.0001814714923966676
530,-0.21703359484672546,-0.21703359484672546,0.28921017050743103,-0.2904815077781677,0.0,0.07471925020217896,0.5475409030914307,0.28921017050743103,0.2904815077781677,0.17858970165252686,0.11062045395374298,0.71875,0.1875,0.00027598754968494177
540,-0.2055594027042389,-0.2055594027042389,0.2895958423614502,-0.29253003001213074,0.0,0.08990481495857239,0.5471885204315186,0.2895958423614502,0.29253003001213074,0.18464620411396027,0.10494962334632874,0.71875,0.21875,0.0001851612760219723
550,-0.21305039525032043,-0.21305039525032043,0.2879330515861511,-0.291942298412323,0.0,0.08290114253759384,0.5483497381210327,0.2879330515861511,0.291942298412323,0.18211914598941803,0.1058138906955719,0.6875,0.3125,0.0002000217355089262
560,-0.21211612224578857,-0.21211612224578857,0.2823348045349121,-0.2870906889438629,0.0,0.07973045855760574,0.5488568544387817,0.2823348045349121,0.2870906889438629,0.176315575838089,0.10601923614740372,0.6875,0.28125,0.00016858975868672132
570,-0.2265005111694336,-0.2265005111694336,0.28108787536621094,-0.29303351044654846,0.0,0.07847863435745239,0.5486563444137573,0.28108787536621094,0.29303351044654846,0.19041912257671356,0.09066876769065857,0.75,0.25,0.0001635691151022911
580,-0.3014942705631256,-0.3014942705631256,0.23496970534324646,-0.29346781969070435,0.0,0.050471674650907516,0.5494232773780823,0.23496970534324646,0.29346781969070435,0.1864783763885498,0.04849132150411606,0.625,0.34375,0.0001680699788266793
590,-0.18519338965415955,-0.18519338965415955,0.29934582114219666,-0.28942131996154785,0.0,0.0943034216761589,0.5503787994384766,0.29934582114219666,0.28942131996154785,0.18042078614234924,0.11892504245042801,0.6875,0.1875,0.0001772121322574094
600,-0.20803415775299072,-0.20803415775299072,0.2816043496131897,-0.29091137647628784,0.0,0.09218424558639526,0.5503554344177246,0.2816043496131897,0.29091137647628784,0.17765259742736816,0.10395173728466034,0.65625,0.3125,0.00017445730918552727
610,-0.2221599817276001,-0.2221599817276001,0.28024977445602417,-0.29228270053863525,0.0,0.08215564489364624,0.5520188212394714,0.28024977445602417,0.29228270053863525,0.18746396899223328,0.09278581291437149,0.71875,0.3125,0.000143645956995897
620,-0.3293565511703491,-0.3293565511703491,0.2109014391899109,-0.29164254665374756,0.0,0.04302710294723511,0.5512599945068359,0.2109014391899109,0.29164254665374756,0.18788111209869385,0.023020323365926743,0.71875,0.5,0.00012864712334703654
630,-0.2769840359687805,-0.2769840359687805,0.24187324941158295,-0.2900978624820709,0.0,0.061338409781455994,0.5504859685897827,0.24187324941158295,0.2900978624820709,0.1734982430934906,0.06837500631809235,0.59375,0.46875,0.00013958783529233187
640,-0.14312058687210083,-0.14312058687210083,0.32740652561187744,-0.2917850613594055,0.0,0.11304300278425217,0.5494033098220825,0.32740652561187744,0.2917850613594055,0.18618255853652954,0.1412239372730255,0.71875,0.21875,0.00018186747911386192
650,-0.22855664789676666,-0.22855664789676666,0.28445202112197876,-0.295291006565094,0.0,0.07757334411144257,0.5495885610580444,0.28445202112197876,0.295291006565094,0.19481343030929565,0.0896386057138443,0.8125,0.34375,0.00017705466598272324
660,-0.25812625885009766,-0.25812625885009766,0.26098793745040894,-0.2949792742729187,0.0,0.07084435969591141,0.5501834154129028,0.26098793745040894,0.2949792742729187,0.1946558952331543,0.06633205711841583,0.75,0.5,0.00012997345766052604
670,-0.21725034713745117,-0.21725034713745117,0.2858217656612396,-0.2957698106765747,0.0,0.08846751600503922,0.5509621500968933,0.2858217656612396,0.2957698106765747,0.19929005205631256,0.08653172105550766,0.71875,0.375,0.00014020095113664865
680,-0.2518846392631531,-0.2518846392631531,0.2585873007774353,-0.2897511124610901,0.0,0.06903029978275299,0.5502136945724487,0.2585873007774353,0.2897511124610901,0.18309414386749268,0.07549318671226501,0.75,0.4375,0.00016414768469985574
690,-0.26138073205947876,-0.26138073205947876,0.25429612398147583,-0.29343894124031067,0.0,0.07120103389024734,0.5522159934043884,0.25429612398147583,0.29343894124031067,0.1858823299407959,0.06841379404067993,0.78125,0.375,0.00013612392649520189
700,-0.19904696941375732,-0.19904696941375732,0.2968798875808716,-0.2946181893348694,0.0,0.09330952167510986,0.5525333881378174,0.2968798875808716,0.2946181893348694,0.18664292991161346,0.11023695766925812,0.71875,0.21875,0.00014123863365966827
710,-0.2054947316646576,-0.2054947316646576,0.2871340215206146,-0.28737860918045044,0.0,0.08212846517562866,0.5501420497894287,0.2871340215206146,0.28737860918045044,0.1802206039428711,0.10691341757774353,0.65625,0.3125,0.00016757877892814577
720,-0.2432248890399933,-0.2432248890399933,0.275382399559021,-0.29868531227111816,0.0,0.07876333594322205,0.5508740544319153,0.275382399559021,0.29868531227111816,0.20083917677402496,0.07454323768615723,0.8125,0.375,0.00017261051107198
730,-0.2226402908563614,-0.2226402908563614,0.2728358507156372,-0.28978562355041504,0.0,0.08409510552883148,0.550804853439331,0.2728358507156372,0.28978562355041504,0.18114525079727173,0.09169057756662369,0.625,0.3125,0.00023642228916287422
740,-0.2973317503929138,-0.2973317503929138,0.22347354888916016,-0.2866467237472534,0.0,0.052488163113594055,0.5498381853103638,0.22347354888916016,0.2866467237472534,0.17766185104846954,0.04581170529127121,0.59375,0.5,0.00015084759797900915
750,-0.1874450147151947,-0.1874450147151947,0.29211580753326416,-0.28661656379699707,0.0,0.09367229789495468,0.5491039752960205,0.29211580753326416,0.28661656379699707,0.17495611310005188,0.11715967208147049,0.65625,0.25,0.00018178424215875566
760,-0.22669075429439545,-0.22669075429439545,0.28032761812210083,-0.2935096323490143,0.0,0.08000089228153229,0.5492610931396484,0.28032761812210083,0.2935096323490143,0.1901715248823166,0.09015609323978424,0.6875,0.28125,0.00015219928172882646
770,-0.2227543592453003,-0.2227543592453003,0.2823527157306671,-0.2933651804924011,0.0,0.08162328600883484,0.5498988628387451,0.2823527157306671,0.2933651804924011,0.18243049085140228,0.09992221742868423,0.65625,0.25,0.00018900302529800683
780,-0.2634403705596924,-0.2634403705596924,0.2637500762939453,-0.29736989736557007,0.0,0.06754934042692184,0.5489788055419922,0.2637500762939453,0.29736989736557007,0.2040460705757141,0.059703998267650604,0.96875,0.375,0.000179230744834058
790,-0.2766547203063965,-0.2766547203063965,0.24120080471038818,-0.29214364290237427,0.0,0.06643175333738327,0.5516694784164429,0.24120080471038818,0.29214364290237427,0.1826661080121994,0.05853470414876938,0.6875,0.40625,0.00022031781554687768
800,-0.26483240723609924,-0.26483240723609924,0.24900081753730774,-0.2915961742401123,0.0,0.06935913115739822,0.5512793064117432,0.24900081753730774,0.2915961742401123,0.18394415080547333,0.06505667418241501,0.78125,0.46875,0.00011349079431965947
810,-0.2691349983215332,-0.2691349983215332,0.2467525750398636,-0.2875310480594635,0.0,0.059174541383981705,0.5524672865867615,0.2467525750398636,0.2875310480594635,0.1790885627269745,0.0676639974117279,0.53125,0.40625,0.00014321577327791601
820,-0.2579980790615082,-0.2579980790615082,0.2532317638397217,-0.2931675314903259,0.0,0.0751052275300026,0.5536481142044067,0.2532317638397217,0.2931675314903259,0.1847667694091797,0.06846501678228378,0.6875,0.5,0.00014239863958209753
830,-0.17974884808063507,-0.17974884808063507,0.29117536544799805,-0.2855710983276367,0.0,0.10021798312664032,0.5551925897598267,0.29117536544799805,0.2855710983276367,0.17841073870658875,0.1127646416425705,0.625,0.28125,0.00012632134894374758
